month_period,store_id,category,brand,gender,monthly_units_sold,avg_price_lkr,avg_promotion_percent,total_revenue,total_customer_count,unique_products_sold,holiday_days,festival_days,school_days,weekend_days,promotion_days,max_promotion_percent,avg_campaign_discount,month_date,year,month,quarter,previous_month_sales,previous_2_month_avg,previous_3_month_avg,previous_6_month_avg,same_month_last_year,sales_growth_1m,sales_growth_3m
2021-01,CP001,Accessories,Emerald,Men,26,2612.2057142857143,0.0,53497.37,21,5,0,0,10,10,1.0,10.0,10.0,2021-01-01,2021,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,CP001,Accessories,Emerald,Men,11,2596.855,0.0,14445.85,10,3,1,0,0,8,0.0,0.0,0.0,2021-02-01,2021,2,1,26.0,0.0,0.0,0.0,0.0,26.0,0.0
2021-03,CP001,Accessories,Emerald,Men,19,1727.42,0.0,35693.65,17,3,0,0,0,8,0.0,0.0,0.0,2021-03-01,2021,3,1,11.0,18.5,0.0,0.0,0.0,-7.5,0.0
2021-04,CP001,Accessories,Emerald,Men,56,2065.11,0.0,107877.66,44,5,2,9,0,8,4.0,25.0,18.75,2021-04-01,2021,4,2,19.0,15.0,18.666666666666668,0.0,0.0,4.0,18.666666666666668
2021-05,CP001,Accessories,Emerald,Men,11,3465.5600000000004,0.0,32541.07,10,2,2,1,0,10,0.0,0.0,0.0,2021-05-01,2021,5,2,56.0,37.5,28.666666666666668,0.0,0.0,18.5,28.666666666666668
2021-06,CP001,Accessories,Emerald,Men,54,3043.017777777778,0.0,161494.13,46,6,1,0,0,8,0.0,0.0,0.0,2021-06-01,2021,6,2,11.0,33.5,28.666666666666668,0.0,0.0,-22.5,28.666666666666668
2021-07,CP001,Accessories,Emerald,Men,31,3150.4483333333337,0.0,90441.13,25,4,0,0,0,9,0.0,0.0,0.0,2021-07-01,2021,7,3,54.0,32.5,40.333333333333336,29.5,0.0,21.5,10.833333333333336
2021-08,CP001,Accessories,Emerald,Men,45,2654.465,0.0,102925.69,39,5,0,0,21,9,1.0,15.0,15.0,2021-08-01,2021,8,3,31.0,42.5,32.0,30.333333333333332,0.0,-11.5,1.6666666666666679
2021-09,CP001,Accessories,Emerald,Men,24,1998.33,0.0,36808.78,22,3,0,0,5,8,0.0,0.0,0.0,2021-09-01,2021,9,3,45.0,38.0,43.333333333333336,36.0,0.0,7.0,7.333333333333336
2021-10,CP001,Accessories,Emerald,Men,23,3342.39625,0.0,88346.95999999999,17,4,1,0,0,10,0.0,0.0,0.0,2021-10-01,2021,10,4,24.0,34.5,33.333333333333336,36.833333333333336,0.0,-10.5,-3.5
2021-11,CP001,Accessories,Emerald,Men,36,4123.041666666667,0.0,152113.56,30,3,0,0,0,8,1.0,25.0,25.0,2021-11-01,2021,11,4,23.0,23.5,30.666666666666668,31.333333333333332,0.0,-0.5,-0.6666666666666643
2021-12,CP001,Accessories,Emerald,Men,16,2926.3233333333337,0.0,43775.72,14,3,1,6,0,8,3.0,20.0,18.333333333333332,2021-12-01,2021,12,4,36.0,29.5,27.666666666666668,35.5,0.0,6.5,-7.833333333333332
2022-01,CP001,Accessories,Emerald,Men,26,3448.4120000000003,0.0,96092.08,22,4,0,0,10,10,0.0,0.0,0.0,2022-01-01,2022,1,1,16.0,26.0,25.0,29.166666666666668,26.0,-10.0,-4.166666666666668
2022-02,CP001,Accessories,Emerald,Men,20,2294.214,0.0,37296.200000000004,18,4,1,0,0,8,0.0,0.0,0.0,2022-02-01,2022,2,1,26.0,21.0,26.0,28.333333333333332,11.0,5.0,-2.333333333333332
2022-03,CP001,Accessories,Emerald,Men,31,2450.4385714285713,0.0,47513.34,28,4,0,0,0,8,0.0,0.0,0.0,2022-03-01,2022,3,1,20.0,23.0,20.666666666666668,24.166666666666668,19.0,-3.0,-3.5
2022-04,CP001,Accessories,Emerald,Men,18,1974.98,0.0,16143.91,12,4,2,9,0,9,0.0,0.0,0.0,2022-04-01,2022,4,2,31.0,25.5,25.666666666666668,25.333333333333332,56.0,5.5,0.3333333333333357
2022-05,CP001,Accessories,Emerald,Men,40,2714.6800000000003,0.0,111661.05,31,6,2,1,0,9,0.0,0.0,0.0,2022-05-01,2022,5,2,18.0,24.5,23.0,24.5,11.0,-6.5,-1.5
2022-06,CP001,Accessories,Emerald,Men,28,2120.0750000000003,0.0,44599.409999999996,22,5,1,0,0,8,0.0,0.0,0.0,2022-06-01,2022,6,2,40.0,29.0,29.666666666666668,25.166666666666668,54.0,11.0,4.5
2022-07,CP001,Accessories,Emerald,Men,25,1194.1366666666668,0.0,33981.95,23,2,0,0,0,10,1.0,15.0,15.0,2022-07-01,2022,7,3,28.0,34.0,28.666666666666668,27.166666666666668,31.0,-6.0,1.5
2022-08,CP001,Accessories,Emerald,Men,15,368.43,0.0,5526.450000000001,12,1,0,0,21,8,1.0,20.0,20.0,2022-08-01,2022,8,3,25.0,26.5,31.0,27.0,45.0,-1.5,4.0
