store_id,category,brand,gender,month,historical_year_count,monthly_units_sold,avg_price_lkr,avg_promotion_percent,total_revenue,total_customer_count,unique_products_sold,holiday_days,festival_days,school_days,weekend_days,promotion_days,max_promotion_percent,avg_campaign_discount,previous_month_sales,previous_2_month_avg,previous_3_month_avg,previous_6_month_avg,same_month_last_year,sales_growth_1m,sales_growth_3m
CP001,Accessories,Emerald,Men,1,5,38.4,3185.53,0.0,121049.0,30.4,5,0,0,10,9,1,7.0,7.0,24.6,23.2,24.33,23.0,25.6,1.4,1.33
CP001,Accessories,Emerald,Men,2,5,32.4,2489.11,0.0,75078.29,28.0,4,1,0,0,8,0,0.0,0.0,38.4,28.9,26.53,25.7,21.0,9.5,0.83
CP001,Accessories,Emerald,Men,3,5,28.0,3025.56,0.0,77894.31,24.2,4,0,0,0,9,0,0.0,0.0,32.4,35.4,29.33,25.83,26.2,-3.0,3.5
CP001,Accessories,Emerald,Men,4,5,30.4,2303.07,0.0,63750.74,24.6,4,2,9,0,9,1,12.0,10.75,28.0,30.2,32.93,26.77,24.0,-2.2,6.17
CP001,Accessories,Emerald,Men,5,5,29.2,3035.45,0.0,86121.42,23.6,4,2,1,0,9,1,3.0,2.33,30.4,29.2,30.27,25.53,22.0,1.2,4.73
CP001,Accessories,Emerald,Men,6,5,31.0,2571.82,0.0,72319.89,25.8,4,1,0,0,9,0,0.0,0.0,29.2,29.8,29.2,26.4,23.0,-0.6,2.8
CP001,Accessories,Emerald,Men,7,5,25.8,2520.19,0.0,60658.58,21.2,4,0,0,0,9,0,7.0,7.0,31.0,30.1,30.2,31.57,17.0,0.9,-1.37
CP001,Accessories,Emerald,Men,8,5,34.8,2497.55,0.0,91052.71,29.8,4,0,0,21,9,1,14.0,13.0,25.8,28.4,28.67,29.47,29.4,-2.6,-0.8
CP001,Accessories,Emerald,Men,9,5,29.0,2671.07,0.0,66970.7,24.0,3,0,0,5,8,0,0.0,0.0,34.8,30.3,30.53,29.87,18.6,4.5,0.67
CP001,Accessories,Emerald,Men,10,5,30.8,3267.03,0.0,101793.63,25.2,4,1,0,0,9,0,0.0,0.0,29.0,31.9,29.87,30.03,26.6,-2.9,-0.17
CP001,Accessories,Emerald,Men,11,5,32.2,2765.77,0.0,93555.3,26.8,4,0,0,0,9,1,21.0,20.33,30.8,29.9,31.53,30.1,21.8,0.9,1.43
CP001,Accessories,Emerald,Men,12,5,28.6,2787.22,1.0,63436.57,23.6,3,1,6,0,9,3,19.0,16.0,32.2,31.5,30.67,30.6,24.6,0.7,0.07
CP001,Accessories,Emerald,Unisex,1,5,63.8,2015.38,0.17,135373.37,52.0,10,0,0,10,9,1,14.0,13.33,39.4,37.2,38.13,42.13,50.6,2.2,-4.0
CP001,Accessories,Emerald,Unisex,2,5,42.2,2231.99,0.0,94668.95,34.0,9,1,0,0,8,0,0.0,0.0,63.8,43.7,40.8,42.1,30.8,20.1,-1.3
CP001,Accessories,Emerald,Unisex,3,5,51.8,2358.0,0.0,117898.89,40.6,9,0,0,0,9,0,0.0,0.0,42.2,53.0,39.73,40.53,38.8,-10.8,-0.8
CP001,Accessories,Emerald,Unisex,4,5,69.4,2592.21,0.0,169461.81,55.6,9,2,9,0,9,5,24.0,19.36,51.8,47.0,52.6,39.2,53.6,4.8,13.4
CP001,Accessories,Emerald,Unisex,5,5,51.6,2141.62,0.0,104673.1,39.6,9,2,1,0,9,2,13.0,11.7,69.4,60.6,54.47,42.33,41.6,8.8,12.13
