date,store_id,product_id,current_stock,reorder_level,max_stock,supplier_lead_time
2021-01-01,CP001,P0964,209,37,178,7
2021-01-01,CP001,P0839,430,114,736,7
2021-01-01,CP001,P0150,141,32,216,5
2021-01-01,CP001,P0825,219,40,309,14
2021-01-01,CP001,P0373,285,46,412,10
2021-01-01,CP001,P0813,465,115,909,5
2021-01-01,CP001,P0185,232,72,383,7
2021-01-01,CP001,P0987,67,13,110,10
2021-01-01,CP001,P0175,205,29,257,7
2021-01-01,CP001,P0753,161,32,221,7
2021-01-01,CP001,P0656,37,8,58,14
2021-01-01,CP001,P0805,24,5,30,14
2021-01-01,CP001,P0727,875,120,1097,3
2021-01-01,CP001,P0752,144,37,282,3
2021-01-01,CP001,P0703,104,38,196,7
2021-01-01,CP001,P0956,13,20,220,7
2021-01-01,CP001,P0120,45,13,104,14
2021-01-01,CP001,P0248,77,16,149,5
2021-01-01,CP001,P0709,312,85,431,10
2021-01-01,CP001,P0966,149,66,377,5
2021-01-01,CP001,P0771,141,36,328,10
2021-01-01,CP001,P0736,469,57,389,7
2021-01-01,CP001,P0485,324,96,505,5
2021-01-01,CP001,P0943,24,5,30,5
2021-01-01,CP001,P0197,141,40,235,7
2021-01-01,CP001,P0558,518,99,696,14
2021-01-01,CP001,P0733,163,39,418,14
2021-01-01,CP001,P0030,348,55,551,5
2021-01-01,CP001,P0586,115,38,279,3
2021-01-01,CP002,P0468,196,37,278,3
2021-01-01,CP002,P0286,376,95,589,5
2021-01-01,CP002,P0987,52,14,130,14
2021-01-01,CP002,P0798,169,32,220,10
2021-01-01,CP002,P0518,179,37,278,5
2021-01-01,CP002,P0545,275,41,363,5
2021-01-01,CP002,P0269,100,33,247,14
2021-01-01,CP002,P0136,64,8,80,5
2021-01-01,CP002,P0120,114,14,138,5
2021-01-01,CP002,P0217,199,54,442,3
2021-01-01,CP002,P0854,109,38,235,10
2021-01-01,CP002,P0469,35,11,68,3
2021-01-01,CP002,P0151,74,20,128,14
2021-01-01,CP002,P0859,195,60,345,7
2021-01-01,CP002,P0356,725,89,620,14
2021-01-01,CP002,P0163,157,43,309,14
2021-01-01,CP002,P0477,299,77,622,7
2021-01-01,CP002,P0551,229,29,289,7
2021-01-01,CP002,P0610,267,45,395,14
2021-01-01,CP002,P0438,178,53,369,14
2021-01-01,CP002,P0345,91,43,203,3
2021-01-01,CP002,P0457,27,9,68,5
2021-01-01,CP002,P0311,234,43,320,7
2021-01-01,CP002,P0922,729,129,846,5
2021-01-01,CP002,P0202,134,43,286,5
2021-01-01,CP002,P0267,65,16,106,14
2021-01-01,CP002,P0036,26,5,30,14
2021-01-01,CP002,P0287,356,80,668,7
2021-01-01,CP002,P0308,509,76,622,7
2021-01-01,CP003,P0174,198,33,265,14
2021-01-01,CP003,P0799,409,70,695,10
2021-01-01,CP003,P0243,112,19,213,5
2021-01-01,CP003,P0505,178,37,288,14
2021-01-01,CP003,P0863,393,81,674,3
2021-01-01,CP003,P0545,320,37,273,14
2021-01-01,CP003,P0159,142,39,312,3
2021-01-01,CP003,P0492,6,21,177,10
2021-01-01,CP003,P0205,219,34,315,14
2021-01-01,CP003,P0821,122,29,152,10
2021-01-01,CP003,P0654,74,18,116,14
2021-01-01,CP003,P0635,87,36,197,3
2021-01-01,CP003,P0980,129,34,310,7
2021-01-01,CP003,P0641,2,43,358,7
2021-01-01,CP003,P0627,48,10,63,14
2021-01-01,CP003,P0236,145,26,185,3
2021-01-01,CP003,P0543,129,38,190,7
2021-01-01,CP003,P0039,263,30,314,5
2021-01-01,CP003,P0963,56,24,140,14
2021-01-01,CP003,P0141,132,33,278,14
2021-01-01,CP004,P0976,198,27,253,14
2021-01-01,CP004,P0416,70,17,159,5
2021-01-01,CP004,P0768,701,58,547,3
