inventory_id,store_id,product_id,current_stock,reorder_level,max_stock,supplier_lead_time,last_updated
INV000001,CP001,P0001,751,135,1060,14,11/06/2026
INV000002,CP001,P0002,132,27,200,5,11/06/2026
INV000003,CP001,P0003,218,86,713,14,11/06/2026
INV000004,CP001,P0004,464,133,876,3,11/06/2026
INV000005,CP001,P0005,285,85,884,14,11/06/2026
INV000006,CP001,P0006,244,52,321,10,11/06/2026
INV000007,CP001,P0007,121,48,221,14,11/06/2026
INV000008,CP001,P0008,185,43,277,14,11/06/2026
INV000009,CP001,P0009,319,44,435,10,11/06/2026
INV000010,CP001,P0010,119,31,267,3,11/06/2026
INV000011,CP001,P0011,293,94,780,3,11/06/2026
INV000012,CP001,P0012,22,13,64,10,11/06/2026
INV000013,CP001,P0013,200,38,274,7,11/06/2026
INV000014,CP001,P0014,124,37,230,14,11/06/2026
INV000015,CP001,P0015,17,12,67,14,11/06/2026
INV000016,CP001,P0016,48,49,335,7,11/06/2026
INV000017,CP001,P0017,92,31,369,5,11/06/2026
INV000018,CP001,P0018,44,44,256,5,11/06/2026
INV000019,CP001,P0019,579,116,769,14,11/06/2026
INV000020,CP001,P0020,470,97,758,5,11/06/2026
INV000021,CP001,P0021,221,47,339,5,11/06/2026
INV000022,CP001,P0022,125,51,394,10,11/06/2026
INV000023,CP001,P0023,312,104,589,3,11/06/2026
INV000024,CP001,P0024,149,26,212,7,11/06/2026
INV000025,CP001,P0025,160,34,240,3,11/06/2026
INV000026,CP001,P0026,260,42,322,5,11/06/2026
INV000027,CP001,P0027,179,55,424,14,11/06/2026
INV000028,CP001,P0028,20,11,65,7,11/06/2026
INV000029,CP001,P0029,41,8,48,7,11/06/2026
INV000030,CP001,P0030,289,55,551,5,11/06/2026
INV000031,CP001,P0031,49,37,244,5,11/06/2026
INV000032,CP001,P0032,610,113,996,5,11/06/2026
INV000033,CP001,P0033,52,27,163,7,11/06/2026
INV000034,CP001,P0034,31,27,202,5,11/06/2026
INV000035,CP001,P0035,51,11,78,3,11/06/2026
INV000036,CP001,P0036,13,5,30,10,11/06/2026
INV000037,CP001,P0037,252,97,670,14,11/06/2026
INV000038,CP001,P0038,45,10,107,5,11/06/2026
INV000039,CP001,P0039,50,33,330,10,11/06/2026
INV000040,CP001,P0040,48,47,461,14,11/06/2026
INV000041,CP001,P0041,18,18,164,7,11/06/2026
INV000042,CP001,P0042,142,56,404,14,11/06/2026
INV000043,CP001,P0043,139,37,248,3,11/06/2026
INV000044,CP001,P0044,264,51,343,5,11/06/2026
INV000045,CP001,P0045,71,40,413,3,11/06/2026
INV000046,CP001,P0046,112,48,394,10,11/06/2026
INV000047,CP001,P0047,353,45,394,3,11/06/2026
INV000048,CP001,P0048,258,29,311,7,11/06/2026
INV000049,CP001,P0049,76,44,292,10,11/06/2026
INV000050,CP001,P0050,105,39,265,7,11/06/2026
INV000051,CP001,P0051,118,41,399,5,11/06/2026
INV000052,CP001,P0052,134,38,245,3,11/06/2026
INV000053,CP001,P0053,41,17,113,14,11/06/2026
INV000054,CP001,P0054,365,94,720,7,11/06/2026
INV000055,CP001,P0055,316,72,546,7,11/06/2026
INV000056,CP001,P0056,71,47,263,14,11/06/2026
INV000057,CP001,P0057,177,53,419,14,11/06/2026
INV000058,CP001,P0058,123,40,383,5,11/06/2026
INV000059,CP001,P0059,26,21,160,3,11/06/2026
INV000060,CP001,P0060,38,31,243,7,11/06/2026
INV000061,CP001,P0061,147,39,366,14,11/06/2026
INV000062,CP001,P0062,396,92,604,7,11/06/2026
INV000063,CP001,P0063,187,42,250,5,11/06/2026
INV000064,CP001,P0064,62,13,81,14,11/06/2026
INV000065,CP001,P0065,52,35,181,14,11/06/2026
INV000066,CP001,P0066,279,53,392,10,11/06/2026
INV000067,CP001,P0067,55,16,79,14,11/06/2026
