date,product_id,store_id,promotion_percent,promotion_type,promotion_reason
2021-01-01,P0964,CP003,10,Loyalty,New Arrival
2021-01-01,P0913,CP007,10,Loyalty,New Arrival
2021-01-01,P0992,CP004,15,Loyalty,New Arrival
2021-01-01,P0010,CP002,10,Loyalty,New Arrival
2021-01-01,P0444,CP002,15,Loyalty,New Arrival
2021-01-01,P0079,CP006,15,Loyalty,New Arrival
2021-01-01,P0505,CP001,10,Loyalty,New Arrival
2021-01-01,P0217,CP005,10,Loyalty,New Arrival
2021-01-01,P0648,CP004,15,Loyalty,New Arrival
2021-01-01,P0821,CP003,15,Loyalty,New Arrival
2021-01-01,P0702,CP005,15,Loyalty,New Arrival
2021-01-01,P0875,CP006,10,Loyalty,New Arrival
2021-01-01,P0981,CP006,15,Loyalty,New Arrival
2021-01-01,P0887,CP004,10,Loyalty,New Arrival
2021-01-01,P0724,CP003,15,Loyalty,New Arrival
2021-01-01,P0321,CP005,10,Loyalty,New Arrival
2021-01-01,P0417,CP003,10,Loyalty,New Arrival
2021-01-01,P0883,CP006,15,Loyalty,New Arrival
2021-01-01,P0250,CP002,15,Loyalty,New Arrival
2021-01-01,P0097,CP005,10,Loyalty,New Arrival
2021-01-01,P0418,CP003,15,Loyalty,New Arrival
2021-01-01,P0205,CP002,15,Loyalty,New Arrival
2021-01-01,P0849,CP008,15,Loyalty,New Arrival
2021-01-01,P0173,CP003,10,Loyalty,New Arrival
2021-01-01,P0611,CP003,10,Loyalty,New Arrival
2021-01-01,P0473,CP007,10,Loyalty,New Arrival
2021-01-01,P0979,CP002,15,Loyalty,New Arrival
2021-01-01,P0376,CP004,15,Loyalty,New Arrival
2021-01-01,P0853,CP006,15,Loyalty,New Arrival
2021-01-01,P0361,CP002,10,Loyalty,New Arrival
2021-01-01,P0460,CP005,15,Loyalty,New Arrival
2021-01-01,P0838,CP004,10,Loyalty,New Arrival
2021-01-01,P0183,CP006,15,Loyalty,New Arrival
2021-01-01,P0763,CP004,10,Loyalty,New Arrival
2021-01-01,P0888,CP004,10,Loyalty,New Arrival
2021-01-01,P0772,CP008,15,Loyalty,New Arrival
2021-01-01,P0425,CP006,10,Loyalty,New Arrival
2021-01-01,P0106,CP007,15,Loyalty,New Arrival
2021-01-01,P0429,CP006,15,Loyalty,New Arrival
2021-01-01,P0612,CP003,15,Loyalty,New Arrival
2021-01-01,P0313,CP001,10,Loyalty,New Arrival
2021-01-01,P0624,CP002,15,Loyalty,New Arrival
2021-01-01,P0421,CP008,10,Loyalty,New Arrival
2021-01-01,P0224,CP006,10,Loyalty,New Arrival
2021-01-01,P0500,CP007,15,Loyalty,New Arrival
2021-01-01,P0936,CP002,10,Loyalty,New Arrival
2021-01-01,P0575,CP004,10,Loyalty,New Arrival
2021-01-01,P0520,CP008,10,Loyalty,New Arrival
2021-01-01,P0073,CP007,15,Loyalty,New Arrival
2021-01-01,P0091,CP001,15,Loyalty,New Arrival
2021-01-01,P0588,CP003,10,Loyalty,New Arrival
2021-01-01,P0860,CP008,10,Loyalty,New Arrival
2021-01-01,P0914,CP005,10,Loyalty,New Arrival
2021-01-01,P0539,CP003,15,Loyalty,New Arrival
2021-01-01,P0874,CP003,10,Loyalty,New Arrival
2021-01-01,P0707,CP003,15,Loyalty,New Arrival
2021-01-01,P0728,CP002,10,Loyalty,New Arrival
2021-01-01,P0605,CP001,15,Loyalty,New Arrival
2021-01-01,P0664,CP004,10,Loyalty,New Arrival
2021-01-01,P0595,CP004,15,Loyalty,New Arrival
2021-01-01,P0909,CP006,15,Loyalty,New Arrival
2021-01-01,P0600,CP001,10,Loyalty,New Arrival
