distance_id,from_store,to_store,from_store_name,to_store_name,distance_km,estimated_time_minutes,route_type,transport_cost_per_km,estimated_transfer_cost,active,verified_source,last_verified
CP001_CP002,CP001,CP002,Cool Planet Nugegoda,Cool Planet Maharagama,4.7,14,Road,200,940.0,True,Google Maps,2026-07-07
CP001_CP003,CP001,CP003,Cool Planet Nugegoda,Cool Planet Kandy,123,197,Road,200,24600,True,Google Maps,2026-07-07
CP001_CP004,CP001,CP004,Cool Planet Nugegoda,Cool Planet Kirulapane,3.7,11,Road,200,740.0,True,Google Maps,2026-07-07
CP001_CP005,CP001,CP005,Cool Planet Nugegoda,Cool Planet Wattala,18.7,47,Road,200,3740.0,True,Google Maps,2026-07-07
CP001_CP006,CP001,CP006,Cool Planet Nugegoda,Cool Planet Colombo,12.9,32,Road,200,2580.0,True,Google Maps,2026-07-07
CP001_CP007,CP001,CP007,Cool Planet Nugegoda,Cool Planet Pelawatte,7.2,22,Road,200,1440.0,True,Google Maps,2026-07-07
CP001_CP008,CP001,CP008,Cool Planet Nugegoda,Cool Planet Malabe,13.5,34,Road,200,2700.0,True,Google Maps,2026-07-07
CP002_CP003,CP002,CP003,Cool Planet Maharagama,Cool Planet Kandy,122,195,Road,200,24400,True,Google Maps,2026-07-07
CP002_CP004,CP002,CP004,Cool Planet Maharagama,Cool Planet Kirulapane,7.9,24,Road,200,1580.0,True,Google Maps,2026-07-07
CP002_CP005,CP002,CP005,Cool Planet Maharagama,Cool Planet Wattala,37.8,60,Road,200,7560.0,True,Google Maps,2026-07-07
CP002_CP006,CP002,CP006,Cool Planet Maharagama,Cool Planet Colombo,15.0,38,Road,200,3000.0,True,Google Maps,2026-07-07
CP002_CP007,CP002,CP007,Cool Planet Maharagama,Cool Planet Pelawatte,7.0,21,Road,200,1400.0,True,Google Maps,2026-07-07
CP002_CP008,CP002,CP008,Cool Planet Maharagama,Cool Planet Malabe,12.6,32,Road,200,2520.0,True,Google Maps,2026-07-07
CP003_CP004,CP003,CP004,Cool Planet Kandy,Cool Planet Kirulapane,124,198,Road,200,24800,True,Google Maps,2026-07-07
CP003_CP005,CP003,CP005,Cool Planet Kandy,Cool Planet Wattala,113,181,Road,200,22600,True,Google Maps,2026-07-07
CP003_CP006,CP003,CP006,Cool Planet Kandy,Cool Planet Colombo,124,198,Road,200,24800,True,Google Maps,2026-07-07
CP003_CP007,CP003,CP007,Cool Planet Kandy,Cool Planet Pelawatte,120,192,Road,200,24000,True,Google Maps,2026-07-07
CP003_CP008,CP003,CP008,Cool Planet Kandy,Cool Planet Malabe,110,176,Road,200,22000,True,Google Maps,2026-07-07
CP004_CP005,CP004,CP005,Cool Planet Kirulapane,Cool Planet Wattala,12.8,32,Road,200,2560.0,True,Google Maps,2026-07-07
CP004_CP006,CP004,CP006,Cool Planet Kirulapane,Cool Planet Colombo,7.9,24,Road,200,1580.0,True,Google Maps,2026-07-07
CP004_CP007,CP004,CP007,Cool Planet Kirulapane,Cool Planet Pelawatte,8.6,26,Road,200,1720.0,True,Google Maps,2026-07-07
CP004_CP008,CP004,CP008,Cool Planet Kirulapane,Cool Planet Malabe,15.4,38,Road,200,3080.0,True,Google Maps,2026-07-07
CP005_CP006,CP005,CP006,Cool Planet Wattala,Cool Planet Colombo,11.2,28,Road,200,2240.0,True,Google Maps,2026-07-07
CP005_CP007,CP005,CP007,Cool Planet Wattala,Cool Planet Pelawatte,15.8,40,Road,200,3160.0,True,Google Maps,2026-07-07
CP005_CP008,CP005,CP008,Cool Planet Wattala,Cool Planet Malabe,16.6,42,Road,200,3320.0,True,Google Maps,2026-07-07
CP006_CP007,CP006,CP007,Cool Planet Colombo,Cool Planet Pelawatte,12.5,31,Road,200,2500.0,True,Google Maps,2026-07-07
CP006_CP008,CP006,CP008,Cool Planet Colombo,Cool Planet Malabe,20.4,51,Road,200,4080.0,True,Google Maps,2026-07-07
CP007_CP008,CP007,CP008,Cool Planet Pelawatte,Cool Planet Malabe,8.1,24,Road,200,1620.0,True,Google Maps,2026-07-07
