customer_id,gender,age,age_group,loyalty_tier,visit_frequency,total_spend_lkr,avg_basket_value_lkr,days_since_last_purchase,preferred_category,campaign_id,offer_type,discount_pct,channel,sent_date,year,clicked,redeemed,revenue_after_lkr,treatment,customer_past_redemption_rate,is_seasonal_window,is_salary_cycle,is_school_holiday
CUST_1577,Male,39,35-45,Silver,6,125692.05,6723.88,77,Watch,CMP_000001,New Arrival,30,Email,2018-11-24,2018,0,0,0.0,1,0.5833,1,1,0
CUST_1214,Female,28,26-34,Bronze,12,574384.74,19761.53,18,Shoes,CMP_000002,BOGO,10,SMS,2018-07-05,2018,1,1,16220.84,0,0.5714,1,0,0
CUST_1902,Male,42,35-45,Silver,36,456921.31,17308.66,101,Shoes,CMP_000003,BOGO,50,App Push,2018-09-23,2018,1,1,9703.36,1,0.4286,0,1,0
CUST_1514,Male,56,46-60,Platinum,14,452462.01,22887.45,150,Handbag,CMP_000004,New Arrival,40,SMS,2018-09-19,2018,0,0,0.0,0,0.4706,0,0,0
CUST_2125,Female,19,18-25,Bronze,22,425258.42,23276.16,159,Dress,CMP_000005,BOGO,20,SMS,2018-11-24,2018,1,1,18659.97,1,0.7778,1,1,0
CUST_0469,Male,42,35-45,Silver,4,204664.36,15029.81,28,Dress,CMP_000006,Loyalty Reward,50,App Push,2018-09-15,2018,0,0,0.0,0,0.6875,0,0,0
CUST_2322,Female,50,46-60,Bronze,17,305269.17,14327.94,99,Coat,CMP_000007,Loyalty Reward,50,Email,2018-02-17,2018,1,1,7760.72,0,0.5,0,0,0
CUST_0661,Female,33,26-34,Silver,46,365827.11,14513.39,41,Sunglasses,CMP_000008,Seasonal Sale,50,In-Store,2018-05-28,2018,0,0,0.0,0,0.6667,0,1,0
CUST_0907,Female,22,18-25,Bronze,49,600461.94,20787.03,165,Top,CMP_000009,BOGO,10,In-Store,2018-12-21,2018,0,0,0.0,1,0.5,1,1,1
CUST_0507,Female,28,26-34,Bronze,30,207527.62,21303.74,145,Sunglasses,CMP_000010,Flash Sale,30,SMS,2018-03-31,2018,1,0,0.0,0,0.7273,1,1,0
CUST_2398,Male,24,18-25,Bronze,47,289837.81,11614.8,10,Top,CMP_000011,Discount,40,In-Store,2018-08-21,2018,1,1,7821.45,1,0.5556,0,1,1
CUST_0623,Female,46,46-60,Bronze,1,23769.44,5306.56,167,Perfume,CMP_000012,BOGO,10,In-Store,2018-11-21,2018,1,0,0.0,0,0.125,1,1,0
CUST_0146,Male,35,35-45,Gold,20,416515.6,20494.66,2,Perfume,CMP_000013,New Arrival,40,App Push,2018-08-18,2018,0,0,0.0,0,0.5714,0,0,1
CUST_1296,Male,57,46-60,Bronze,5,378417.96,14074.09,28,Coat,CMP_000014,Seasonal Sale,10,SMS,2018-06-19,2018,0,0,0.0,1,0.6667,1,0,0
CUST_2135,Female,27,26-34,Silver,5,465355.86,20522.69,69,Perfume,CMP_000015,Discount,20,In-Store,2018-02-01,2018,1,1,15564.63,0,0.5,0,1,0
