campaign_id,customer_id,offer_type,discount_pct,channel,sent_date,clicked,redeemed,treatment,revenue_after_lkr
CAMP_0001,CUST_306,BOGO,0,In-App Push,2025-02-17,0,0,Treatment,0.0
CAMP_0002,CUST_304,Loyalty Reward,0,Email,2025-01-28,0,0,Treatment,0.0
CAMP_0003,CUST_103,Discount,20,SMS,2025-02-01,0,0,Treatment,0.0
CAMP_0004,CUST_435,Flash Sale,20,In-App Push,2025-04-21,0,0,Treatment,0.0
CAMP_0005,CUST_415,Flash Sale,20,In-App Push,2025-03-02,0,0,Treatment,0.0
CAMP_0006,CUST_431,Flash Sale,30,SMS,2025-04-26,0,0,Control,0.0
CAMP_0007,CUST_023,New Arrival,30,Email,2025-03-19,0,0,Treatment,0.0
CAMP_0008,CUST_404,Loyalty Reward,20,In-App Push,2025-02-12,0,0,Treatment,0.0
CAMP_0009,CUST_233,Flash Sale,0,Email,2025-03-05,0,0,Treatment,0.0
CAMP_0010,CUST_116,Flash Sale,0,In-App Push,2025-04-18,0,0,Treatment,0.0
CAMP_0011,CUST_295,Loyalty Reward,10,Email,2025-03-25,0,0,Control,0.0
CAMP_0012,CUST_019,Loyalty Reward,10,SMS,2025-02-08,0,0,Treatment,0.0
CAMP_0013,CUST_047,Discount,10,SMS,2025-02-06,0,0,Treatment,0.0
CAMP_0014,CUST_249,Flash Sale,50,SMS,2025-04-28,0,0,Treatment,0.0
CAMP_0015,CUST_485,Discount,50,In-App Push,2025-03-13,0,0,Control,0.0
CAMP_0016,CUST_153,Discount,30,SMS,2025-01-03,0,0,Treatment,0.0
CAMP_0017,CUST_261,Loyalty Reward,50,In-App Push,2025-01-25,0,0,Treatment,0.0
CAMP_0018,CUST_037,Flash Sale,10,In-App Push,2025-04-21,0,0,Control,0.0
CAMP_0019,CUST_247,Flash Sale,10,SMS,2025-03-03,0,0,Treatment,0.0
CAMP_0020,CUST_118,Loyalty Reward,0,SMS,2025-04-08,0,0,Treatment,0.0
CAMP_0021,CUST_092,Loyalty Reward,20,In-App Push,2025-01-12,0,0,Treatment,0.0
CAMP_0022,CUST_406,Discount,30,SMS,2025-03-11,0,0,Treatment,0.0
CAMP_0023,CUST_376,Loyalty Reward,20,SMS,2025-03-31,0,0,Treatment,0.0
CAMP_0024,CUST_089,Loyalty Reward,0,SMS,2025-04-23,0,0,Treatment,0.0
CAMP_0025,CUST_454,Flash Sale,0,In-App Push,2025-02-04,1,0,Treatment,0.0
CAMP_0026,CUST_258,Flash Sale,0,Email,2025-04-06,0,0,Treatment,0.0
CAMP_0027,CUST_285,Discount,50,In-App Push,2025-04-15,0,0,Treatment,0.0
CAMP_0028,CUST_074,Flash Sale,0,In-App Push,2025-03-09,1,0,Treatment,0.0
CAMP_0029,CUST_043,Discount,20,In-App Push,2025-03-22,0,0,Treatment,0.0
CAMP_0030,CUST_443,Loyalty Reward,20,In-App Push,2025-03-29,0,0,Treatment,0.0
CAMP_0031,CUST_179,Discount,30,In-App Push,2025-01-25,0,0,Treatment,0.0
CAMP_0032,CUST_320,Flash Sale,50,In-App Push,2025-01-05,1,0,Treatment,0.0
CAMP_0033,CUST_198,Discount,20,SMS,2025-04-21,1,1,Treatment,6144.38
CAMP_0034,CUST_061,Loyalty Reward,10,SMS,2025-01-15,0,0,Treatment,0.0
CAMP_0035,CUST_200,Discount,20,Email,2025-03-03,0,0,Treatment,0.0
CAMP_0036,CUST_472,Loyalty Reward,0,Email,2025-02-14,0,0,Treatment,0.0
CAMP_0037,CUST_447,Flash Sale,30,Email,2025-02-17,0,0,Control,0.0
CAMP_0038,CUST_057,Discount,10,Email,2025-02-17,0,0,Treatment,0.0
CAMP_0039,CUST_132,Loyalty Reward,0,SMS,2025-01-30,0,0,Control,0.0
CAMP_0040,CUST_124,Flash Sale,10,Email,2025-04-04,1,0,Treatment,0.0
