transaction_id,customer_id,date,product,category,quantity,unit_price_lkr,total_amount_lkr,channel,store_id,loyalty_points_earned
TXN_00001,CUST_033,2025-05-02,Trousers,Apparel,1,16952.56,16952.56,In-store,STORE_2,169
TXN_00002,CUST_131,2025-04-26,Watch,Accessories,3,2066.75,6200.25,Online,STORE_6,62
TXN_00003,CUST_151,2025-03-18,Dress,Apparel,2,2236.43,4472.86,In-store,STORE_4,44
TXN_00004,CUST_239,2025-03-26,Dress,Apparel,3,5121.63,15364.89,In-store,STORE_1,153
TXN_00005,CUST_215,2025-04-01,Dress,Apparel,1,1870.78,1870.78,In-store,STORE_7,18
TXN_00006,CUST_334,2025-04-12,Top,Apparel,1,8637.34,8637.34,Online,STORE_3,86
TXN_00007,CUST_263,2025-01-13,Top,Apparel,3,2067.84,6203.52,In-store,STORE_10,62
TXN_00008,CUST_266,2025-04-19,Watch,Accessories,3,3601.02,10803.06,Online,STORE_10,108
TXN_00009,CUST_173,2025-04-10,Handbag,Accessories,2,7464.71,14929.42,Online,STORE_3,149
TXN_00010,CUST_128,2025-04-27,Jewellery,Accessories,1,5445.65,5445.65,Online,STORE_3,54
TXN_00011,CUST_350,2025-02-15,Jewellery,Accessories,2,12165.06,24330.12,Online,STORE_9,243
TXN_00012,CUST_060,2025-02-02,Jewellery,Accessories,3,1958.88,5876.64,Online,STORE_10,58
TXN_00013,CUST_489,2025-01-20,Handbag,Accessories,2,3645.78,7291.56,Online,STORE_1,72
TXN_00014,CUST_289,2025-02-02,Handbag,Accessories,1,1903.83,1903.83,In-store,STORE_5,19
TXN_00015,CUST_454,2025-04-20,Trousers,Apparel,3,2341.35,7024.05,Online,STORE_5,70
TXN_00016,CUST_075,2025-03-22,Dress,Apparel,3,8651.74,25955.22,Online,STORE_1,259
TXN_00017,CUST_196,2025-01-30,Coat,Apparel,1,4985.37,4985.37,In-store,STORE_1,49
TXN_00018,CUST_025,2025-02-23,Watch,Accessories,1,3093.74,3093.74,In-store,STORE_4,30
TXN_00019,CUST_280,2025-04-20,Watch,Accessories,2,5128.87,10257.74,Online,STORE_1,102
TXN_00020,CUST_296,2025-03-11,Watch,Accessories,2,4179.35,8358.7,Online,STORE_7,83
TXN_00021,CUST_100,2025-02-14,Top,Apparel,1,2395.34,2395.34,In-store,STORE_7,23
TXN_00022,CUST_396,2025-01-30,Sunglasses,Accessories,1,4880.84,4880.84,In-store,STORE_7,48
TXN_00023,CUST_410,2025-03-25,Watch,Accessories,2,6423.25,12846.5,Online,STORE_7,128
TXN_00024,CUST_457,2025-01-28,Trousers,Apparel,1,16222.64,16222.64,Online,STORE_5,162
TXN_00025,CUST_175,2025-03-12,Trousers,Apparel,1,2225.17,2225.17,In-store,STORE_9,22
TXN_00026,CUST_471,2025-04-21,Handbag,Accessories,3,6744.72,20234.16,Online,STORE_9,202
TXN_00027,CUST_341,2025-01-08,Jewellery,Accessories,3,8763.86,26291.58,Online,STORE_9,262
TXN_00028,CUST_439,2025-04-23,Jewellery,Accessories,3,5924.73,17774.19,In-store,STORE_1,177
TXN_00029,CUST_129,2025-01-23,Watch,Accessories,2,1484.73,2969.46,In-store,STORE_10,29
TXN_00030,CUST_102,2025-01-16,Trousers,Apparel,2,1500.75,3001.5,In-store,STORE_2,30
TXN_00031,CUST_103,2025-04-02,Shoes,Footwear,3,2201.82,6605.46,In-store,STORE_10,66
TXN_00032,CUST_003,2025-03-12,Jewellery,Accessories,3,2403.99,7211.97,Online,STORE_6,72
TXN_00033,CUST_026,2025-03-20,Watch,Accessories,1,16183.19,16183.19,In-store,STORE_9,161
TXN_00034,CUST_131,2025-04-11,Shoes,Footwear,3,2004.08,6012.24,Online,STORE_2,60
TXN_00035,CUST_259,2025-02-24,Trousers,Apparel,3,5327.27,15981.81,Online,STORE_7,159
TXN_00036,CUST_483,2025-03-15,Handbag,Accessories,3,14956.22,44868.66,Online,STORE_3,448
TXN_00037,CUST_340,2025-03-23,Shoes,Footwear,3,16909.22,50727.66,In-store,STORE_8,507
TXN_00038,CUST_401,2025-01-13,Shoes,Footwear,1,2512.37,2512.37,In-store,STORE_9,25
TXN_00039,CUST_401,2025-02-17,Trousers,Apparel,2,2586.73,5173.46,In-store,STORE_8,51
TXN_00040,CUST_117,2025-04-15,Dress,Apparel,1,2246.44,2246.44,Online,STORE_1,22
TXN_00041,CUST_500,2025-04-25,Watch,Accessories,3,3579.86,10739.58,In-store,STORE_6,107
TXN_00042,CUST_389,2025-04-27,Jewellery,Accessories,3,2170.67,6512.01,In-store,STORE_5,65
TXN_00043,CUST_110,2025-04-13,Handbag,Accessories,1,14944.05,14944.05,In-store,STORE_10,149
TXN_00044,CUST_149,2025-04-24,Top,Apparel,2,4049.89,8099.78,In-store,STORE_3,80
TXN_00045,CUST_195,2025-01-20,Jewellery,Accessories,2,13880.91,27761.82,In-store,STORE_10,277
TXN_00046,CUST_411,2025-01-12,Dress,Apparel,1,4559.51,4559.51,In-store,STORE_1,45
TXN_00047,CUST_333,2025-04-29,Shoes,Footwear,1,2987.87,2987.87,In-store,STORE_4,29
TXN_00048,CUST_022,2025-03-31,Jewellery,Accessories,1,4085.87,4085.87,In-store,STORE_10,40
TXN_00049,CUST_419,2025-04-05,Shoes,Footwear,1,3563.5,3563.5,In-store,STORE_10,35
TXN_00050,CUST_162,2025-02-18,Dress,Apparel,2,2169.23,4338.46,Online,STORE_1,43
TXN_00051,CUST_235,2025-03-23,Watch,Accessories,3,2438.42,7315.26,In-store,STORE_8,73
TXN_00052,CUST_399,2025-05-02,Coat,Apparel,2,9806.39,19612.78,Online,STORE_10,196
TXN_00053,CUST_108,2025-01-12,Trousers,Apparel,1,3052.82,3052.82,In-store,STORE_8,30
TXN_00054,CUST_028,2025-03-03,Watch,Accessories,1,20153.62,20153.62,In-store,STORE_4,201
TXN_00055,CUST_483,2025-03-28,Handbag,Accessories,2,16137.43,32274.86,Online,STORE_8,322
TXN_00056,CUST_488,2025-02-23,Shoes,Footwear,2,2063.72,4127.44,Online,STORE_9,41
TXN_00057,CUST_275,2025-03-28,Jewellery,Accessories,2,1903.14,3806.28,Online,STORE_6,38
TXN_00058,CUST_307,2025-04-24,Shoes,Footwear,2,5113.04,10226.08,In-store,STORE_4,102
TXN_00059,CUST_230,2025-04-04,Handbag,Accessories,3,3865.11,11595.33,In-store,STORE_2,115
TXN_00060,CUST_441,2025-02-28,Perfume,Beauty,1,2031.04,2031.04,In-store,STORE_10,20
TXN_00061,CUST_356,2025-05-09,Handbag,Accessories,1,19673.49,19673.49,Online,STORE_3,196
TXN_00062,CUST_348,2025-01-24,Watch,Accessories,1,3639.33,3639.33,In-store,STORE_4,36
TXN_00063,CUST_473,2025-02-18,Top,Apparel,3,5455.15,16365.45,Online,STORE_5,163
TXN_00064,CUST_280,2025-01-03,Sunglasses,Accessories,3,2851.61,8554.83,Online,STORE_6,85
TXN_00065,CUST_091,2025-02-24,Shoes,Footwear,3,2949.46,8848.38,In-store,STORE_8,88
TXN_00066,CUST_241,2025-03-17,Shoes,Footwear,3,8673.4,26020.2,In-store,STORE_10,260
TXN_00067,CUST_058,2025-04-03,Top,Apparel,3,4539.45,13618.35,Online,STORE_1,136
TXN_00068,CUST_334,2025-01-21,Handbag,Accessories,3,7632.37,22897.11,Online,STORE_8,228
TXN_00069,CUST_153,2025-03-13,Handbag,Accessories,2,3854.9,7709.8,In-store,STORE_10,77
TXN_00070,CUST_467,2025-04-07,Trousers,Apparel,2,7003.18,14006.36,In-store,STORE_10,140
TXN_00071,CUST_243,2025-05-10,Coat,Apparel,3,5696.95,17090.85,In-store,STORE_1,170
TXN_00072,CUST_265,2025-03-21,Dress,Apparel,1,1714.49,1714.49,In-store,STORE_4,17
TXN_00073,CUST_226,2025-02-06,Watch,Accessories,3,2164.52,6493.56,Online,STORE_9,64
TXN_00074,CUST_393,2025-04-24,Shoes,Footwear,1,9938.44,9938.44,Online,STORE_7,99
TXN_00075,CUST_117,2025-01-28,Handbag,Accessories,1,2001.82,2001.82,In-store,STORE_7,20
TXN_00076,CUST_411,2025-03-21,Perfume,Beauty,2,2702.81,5405.62,Online,STORE_6,54
TXN_00077,CUST_490,2025-02-07,Dress,Apparel,2,3977.24,7954.48,In-store,STORE_1,79
TXN_00078,CUST_401,2025-01-18,Shoes,Footwear,2,1673.86,3347.72,In-store,STORE_5,33
TXN_00079,CUST_487,2025-05-08,Dress,Apparel,1,1525.47,1525.47,Online,STORE_1,15
TXN_00080,CUST_062,2025-02-04,Top,Apparel,2,10723.95,21447.9,In-store,STORE_5,214
TXN_00081,CUST_005,2025-01-10,Jewellery,Accessories,2,19150.26,38300.52,In-store,STORE_4,383
TXN_00082,CUST_371,2025-04-18,Watch,Accessories,1,3596.04,3596.04,In-store,STORE_2,35
TXN_00083,CUST_007,2025-04-27,Jewellery,Accessories,3,2071.17,6213.51,In-store,STORE_3,62
TXN_00084,CUST_381,2025-02-19,Shoes,Footwear,3,1900.95,5702.85,In-store,STORE_9,57
TXN_00085,CUST_400,2025-02-04,Top,Apparel,2,3349.42,6698.84,Online,STORE_9,66
TXN_00086,CUST_320,2025-03-06,Watch,Accessories,2,1636.43,3272.86,In-store,STORE_2,32
TXN_00087,CUST_349,2025-03-14,Shoes,Footwear,2,10839.34,21678.68,In-store,STORE_5,216
TXN_00088,CUST_218,2025-03-27,Handbag,Accessories,2,2124.88,4249.76,In-store,STORE_3,42
TXN_00089,CUST_327,2025-03-08,Dress,Apparel,3,6675.36,20026.08,Online,STORE_6,200
TXN_00090,CUST_063,2025-05-07,Jewellery,Accessories,1,8652.01,8652.01,In-store,STORE_8,86
TXN_00091,CUST_262,2025-04-01,Watch,Accessories,3,2163.12,6489.36,Online,STORE_1,64
TXN_00092,CUST_412,2025-02-05,Shoes,Footwear,3,2317.29,6951.87,Online,STORE_3,69
TXN_00093,CUST_098,2025-03-15,Watch,Accessories,3,8099.83,24299.49,Online,STORE_7,242
TXN_00094,CUST_164,2025-02-02,Shoes,Footwear,3,4277.92,12833.76,In-store,STORE_3,128
TXN_00095,CUST_221,2025-04-18,Dress,Apparel,1,7703.17,7703.17,Online,STORE_7,77
TXN_00096,CUST_307,2025-03-05,Shoes,Footwear,1,3951.61,3951.61,Online,STORE_8,39
TXN_00097,CUST_092,2025-02-08,Coat,Apparel,3,7035.65,21106.95,Online,STORE_3,211
TXN_00098,CUST_104,2025-03-22,Shoes,Footwear,2,10889.65,21779.3,In-store,STORE_1,217
TXN_00099,CUST_412,2025-04-13,Sunglasses,Accessories,1,1616.96,1616.96,Online,STORE_6,16
TXN_00100,CUST_064,2025-03-21,Dress,Apparel,1,15640.6,15640.6,Online,STORE_2,156
TXN_00101,CUST_313,2025-03-30,Sunglasses,Accessories,1,12995.61,12995.61,Online,STORE_7,129
TXN_00102,CUST_264,2025-01-16,Dress,Apparel,3,4421.76,13265.28,In-store,STORE_9,132
TXN_00103,CUST_003,2025-02-21,Perfume,Beauty,2,1089.17,2178.34,Online,STORE_6,21
TXN_00104,CUST_098,2025-05-03,Sunglasses,Accessories,1,8851.5,8851.5,Online,STORE_5,88
TXN_00105,CUST_270,2025-02-13,Top,Apparel,3,6235.9,18707.7,In-store,STORE_4,187
TXN_00106,CUST_029,2025-01-06,Watch,Accessories,1,4663.54,4663.54,Online,STORE_5,46
TXN_00107,CUST_080,2025-03-29,Watch,Accessories,2,3964.01,7928.02,In-store,STORE_7,79
TXN_00108,CUST_090,2025-01-31,Coat,Apparel,1,2792.05,2792.05,In-store,STORE_9,27
TXN_00109,CUST_007,2025-01-01,Top,Apparel,1,1889.38,1889.38,In-store,STORE_4,18
TXN_00110,CUST_313,2025-02-02,Trousers,Apparel,3,22290.2,66870.6,In-store,STORE_8,668
TXN_00111,CUST_500,2025-01-08,Watch,Accessories,2,5796.78,11593.56,Online,STORE_4,115
TXN_00112,CUST_447,2025-02-09,Handbag,Accessories,2,7453.62,14907.24,Online,STORE_7,149
TXN_00113,CUST_113,2025-04-28,Trousers,Apparel,2,12219.51,24439.02,In-store,STORE_9,244
TXN_00114,CUST_187,2025-03-15,Shoes,Footwear,1,4928.29,4928.29,In-store,STORE_1,49
TXN_00115,CUST_418,2025-03-23,Shoes,Footwear,1,5665.08,5665.08,Online,STORE_10,56
TXN_00116,CUST_105,2025-03-03,Shoes,Footwear,1,9492.53,9492.53,In-store,STORE_5,94
TXN_00117,CUST_251,2025-04-15,Trousers,Apparel,2,18252.31,36504.62,In-store,STORE_6,365
TXN_00118,CUST_242,2025-01-10,Handbag,Accessories,3,2060.47,6181.41,In-store,STORE_3,61
TXN_00119,CUST_222,2025-05-08,Handbag,Accessories,3,4035.49,12106.47,In-store,STORE_8,121
TXN_00120,CUST_096,2025-04-23,Watch,Accessories,3,4462.85,13388.55,In-store,STORE_5,133
TXN_00121,CUST_231,2025-03-12,Shoes,Footwear,2,3238.39,6476.78,Online,STORE_7,64
TXN_00122,CUST_433,2025-04-08,Handbag,Accessories,3,6265.08,18795.24,In-store,STORE_8,187
TXN_00123,CUST_338,2025-03-31,Handbag,Accessories,3,19572.32,58716.96,In-store,STORE_1,587
TXN_00124,CUST_435,2025-04-21,Watch,Accessories,2,3681.53,7363.06,In-store,STORE_3,73
TXN_00125,CUST_047,2025-02-04,Trousers,Apparel,2,2094.11,4188.22,In-store,STORE_8,41
TXN_00126,CUST_100,2025-03-06,Dress,Apparel,1,3591.44,3591.44,Online,STORE_4,35
TXN_00127,CUST_467,2025-01-07,Coat,Apparel,2,9187.88,18375.76,Online,STORE_5,183
TXN_00128,CUST_194,2025-02-17,Dress,Apparel,2,3749.82,7499.64,In-store,STORE_3,74
TXN_00129,CUST_395,2025-04-15,Handbag,Accessories,3,4409.05,13227.15,Online,STORE_1,132
TXN_00130,CUST_009,2025-04-19,Dress,Apparel,1,3451.79,3451.79,Online,STORE_9,34
TXN_00131,CUST_101,2025-03-02,Handbag,Accessories,1,9974.87,9974.87,Online,STORE_4,99
TXN_00132,CUST_394,2025-05-04,Trousers,Apparel,3,3822.06,11466.18,In-store,STORE_4,114
TXN_00133,CUST_109,2025-03-30,Watch,Accessories,2,3422.86,6845.72,In-store,STORE_10,68
TXN_00134,CUST_430,2025-04-12,Trousers,Apparel,3,2100.77,6302.31,In-store,STORE_7,63
TXN_00135,CUST_124,2025-05-05,Jewellery,Accessories,2,1908.29,3816.58,Online,STORE_7,38
TXN_00136,CUST_235,2025-01-31,Shoes,Footwear,1,2412.79,2412.79,Online,STORE_6,24
TXN_00137,CUST_154,2025-03-28,Jewellery,Accessories,1,2012.8,2012.8,In-store,STORE_4,20
TXN_00138,CUST_133,2025-03-07,Handbag,Accessories,3,15131.55,45394.65,In-store,STORE_8,453
TXN_00139,CUST_206,2025-02-19,Jewellery,Accessories,3,7726.68,23180.04,Online,STORE_7,231
TXN_00140,CUST_434,2025-01-15,Shoes,Footwear,1,20132.1,20132.1,In-store,STORE_7,201
TXN_00141,CUST_349,2025-04-07,Shoes,Footwear,2,8435.25,16870.5,Online,STORE_2,168
TXN_00142,CUST_108,2025-04-16,Watch,Accessories,1,3545.03,3545.03,Online,STORE_1,35
TXN_00143,CUST_057,2025-04-07,Trousers,Apparel,2,1829.28,3658.56,Online,STORE_2,36
TXN_00144,CUST_244,2025-04-17,Jewellery,Accessories,1,14660.52,14660.52,In-store,STORE_4,146
TXN_00145,CUST_157,2025-02-18,Jewellery,Accessories,1,15007.27,15007.27,In-store,STORE_6,150
TXN_00146,CUST_253,2025-02-02,Shoes,Footwear,3,4944.03,14832.09,Online,STORE_2,148
TXN_00147,CUST_469,2025-03-17,Handbag,Accessories,3,2201.51,6604.53,Online,STORE_10,66
TXN_00148,CUST_491,2025-03-25,Shoes,Footwear,2,6917.97,13835.94,In-store,STORE_5,138
TXN_00149,CUST_338,2025-03-11,Jewellery,Accessories,2,16772.7,33545.4,In-store,STORE_1,335
TXN_00150,CUST_355,2025-02-02,Trousers,Apparel,2,1692.94,3385.88,In-store,STORE_8,33
TXN_00151,CUST_213,2025-02-27,Handbag,Accessories,1,2474.08,2474.08,In-store,STORE_2,24
TXN_00152,CUST_257,2025-02-09,Dress,Apparel,1,2396.65,2396.65,Online,STORE_9,23
TXN_00153,CUST_401,2025-02-27,Coat,Apparel,3,2081.79,6245.37,Online,STORE_3,62
TXN_00154,CUST_170,2025-04-25,Watch,Accessories,1,9329.2,9329.2,In-store,STORE_5,93
TXN_00155,CUST_345,2025-05-10,Jewellery,Accessories,1,2800.0,2800.0,In-store,STORE_6,28
TXN_00156,CUST_415,2025-03-14,Dress,Apparel,1,4852.51,4852.51,Online,STORE_8,48
TXN_00157,CUST_409,2025-01-06,Shoes,Footwear,3,2722.04,8166.12,Online,STORE_9,81
TXN_00158,CUST_330,2025-02-03,Shoes,Footwear,2,6881.34,13762.68,Online,STORE_1,137
TXN_00159,CUST_431,2025-05-02,Dress,Apparel,2,2998.26,5996.52,Online,STORE_4,59
TXN_00160,CUST_187,2025-02-10,Shoes,Footwear,3,4542.22,13626.66,In-store,STORE_6,136
TXN_00161,CUST_014,2025-03-26,Jewellery,Accessories,2,16843.66,33687.32,Online,STORE_3,336
TXN_00162,CUST_128,2025-03-04,Perfume,Beauty,1,3082.63,3082.63,In-store,STORE_9,30
TXN_00163,CUST_359,2025-01-16,Jewellery,Accessories,3,2685.3,8055.9,Online,STORE_3,80
TXN_00164,CUST_406,2025-03-30,Trousers,Apparel,1,3401.08,3401.08,In-store,STORE_1,34
TXN_00165,CUST_072,2025-01-03,Trousers,Apparel,2,15540.19,31080.38,Online,STORE_3,310
TXN_00166,CUST_156,2025-04-07,Shoes,Footwear,1,1882.15,1882.15,In-store,STORE_6,18
TXN_00167,CUST_261,2025-01-29,Dress,Apparel,3,8863.1,26589.3,In-store,STORE_3,265
TXN_00168,CUST_416,2025-04-13,Handbag,Accessories,2,1574.23,3148.46,Online,STORE_9,31
TXN_00169,CUST_428,2025-04-17,Shoes,Footwear,2,6303.52,12607.04,Online,STORE_5,126
TXN_00170,CUST_353,2025-03-29,Jewellery,Accessories,3,7381.57,22144.71,Online,STORE_10,221
TXN_00171,CUST_081,2025-03-06,Perfume,Beauty,3,3786.09,11358.27,In-store,STORE_6,113
TXN_00172,CUST_329,2025-02-02,Trousers,Apparel,1,5830.96,5830.96,In-store,STORE_7,58
TXN_00173,CUST_239,2025-04-18,Top,Apparel,3,4004.38,12013.14,In-store,STORE_4,120
TXN_00174,CUST_266,2025-02-08,Trousers,Apparel,1,3064.2,3064.2,Online,STORE_2,30
TXN_00175,CUST_373,2025-03-14,Trousers,Apparel,2,5877.56,11755.12,Online,STORE_7,117
TXN_00176,CUST_455,2025-03-14,Jewellery,Accessories,1,8522.02,8522.02,Online,STORE_9,85
TXN_00177,CUST_077,2025-05-05,Shoes,Footwear,2,1653.37,3306.74,Online,STORE_8,33
TXN_00178,CUST_383,2025-02-19,Shoes,Footwear,1,4787.74,4787.74,Online,STORE_2,47
TXN_00179,CUST_086,2025-01-19,Jewellery,Accessories,1,9777.82,9777.82,In-store,STORE_7,97
TXN_00180,CUST_154,2025-04-15,Dress,Apparel,3,2373.37,7120.11,Online,STORE_6,71
TXN_00181,CUST_185,2025-02-05,Perfume,Beauty,1,6527.76,6527.76,In-store,STORE_4,65
TXN_00182,CUST_064,2025-02-16,Handbag,Accessories,3,18650.44,55951.32,Online,STORE_4,559
TXN_00183,CUST_395,2025-03-23,Top,Apparel,1,3764.09,3764.09,Online,STORE_4,37
TXN_00184,CUST_272,2025-01-09,Sunglasses,Accessories,3,4328.14,12984.42,In-store,STORE_7,129
TXN_00185,CUST_404,2025-04-08,Handbag,Accessories,3,10538.11,31614.33,Online,STORE_7,316
TXN_00186,CUST_081,2025-03-03,Handbag,Accessories,1,4450.95,4450.95,In-store,STORE_6,44
TXN_00187,CUST_446,2025-03-01,Top,Apparel,1,1847.87,1847.87,Online,STORE_7,18
TXN_00188,CUST_114,2025-01-21,Shoes,Footwear,2,1876.02,3752.04,In-store,STORE_8,37
TXN_00189,CUST_212,2025-05-07,Dress,Apparel,1,8555.46,8555.46,Online,STORE_10,85
TXN_00190,CUST_481,2025-01-09,Watch,Accessories,3,1924.69,5774.07,Online,STORE_4,57
TXN_00191,CUST_470,2025-04-04,Trousers,Apparel,1,2051.29,2051.29,Online,STORE_5,20
TXN_00192,CUST_465,2025-04-14,Trousers,Apparel,3,2343.13,7029.39,Online,STORE_3,70
TXN_00193,CUST_495,2025-03-30,Perfume,Beauty,2,6507.95,13015.9,Online,STORE_8,130
TXN_00194,CUST_395,2025-03-19,Top,Apparel,2,4289.79,8579.58,Online,STORE_8,85
TXN_00195,CUST_040,2025-03-11,Top,Apparel,2,1919.56,3839.12,In-store,STORE_7,38
TXN_00196,CUST_084,2025-04-08,Trousers,Apparel,3,15908.1,47724.3,Online,STORE_3,477
TXN_00197,CUST_091,2025-04-06,Shoes,Footwear,3,4278.87,12836.61,Online,STORE_7,128
TXN_00198,CUST_146,2025-01-06,Dress,Apparel,1,7900.4,7900.4,Online,STORE_10,79
TXN_00199,CUST_002,2025-01-22,Coat,Apparel,1,8500.79,8500.79,In-store,STORE_3,85
TXN_00200,CUST_371,2025-02-04,Coat,Apparel,2,3343.31,6686.62,Online,STORE_9,66
TXN_00201,CUST_456,2025-03-11,Handbag,Accessories,2,1784.86,3569.72,In-store,STORE_2,35
TXN_00202,CUST_473,2025-04-21,Jewellery,Accessories,3,6438.17,19314.51,In-store,STORE_2,193
